"UU",a01,a02,C,I,G,X,M
g01,642.221711236234,648.823229332792,347.120297797864,5.08582778872306e-14,4.6186846682418e-07,178.302953232044,-357.071822023135
g02,238.97908863957,10555.7748297,8508.27101236243,2080.64078769057,3145.05413756636,1921.69704676796,-2322.92817797687
L,100.584600333385,9728.79530762125,442.769565508015,104.032039384528,1.71119442667082e-06,0,0
K,325.940757229174,2538.44041747482,1053.78719106993,104.032039384528,0.0145606134173749,0,0
TAX,151.670212599305,655.65494062116,246.149335261753,3.74514607291292e-10,0.00340114716145981,0,0
"NN",a01,a02,C,I,G,X,M
g01,642.221711236234,648.823229332792,347.120297797864,5.08582778872306e-14,4.6186846682418e-07,178.302953232044,-357.071822023135
g02,238.97908863957,10555.7748297,8508.27101236243,2080.64078769057,3145.05413756636,1921.69704676796,-2322.92817797687
L,100.584600333385,9728.79530762125,442.769565508015,104.032039384528,1.71119442667082e-06,0,0
K,325.940757229174,2538.44041747482,1053.78719106993,104.032039384528,0.0145606134173749,0,0
TAX,151.670212599305,655.65494062116,246.149335261753,3.74514607291292e-10,0.00340114716145981,0,0
